,int_rate,loan_amnt,installment,annual_inc,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
0,5.31,18338.132295719843,538.7006225680934,107711.44357976654,14.480933852140078,0.12062256809338522,744.9416342412451,748.9416342412451,0.2840466926070039,12.505836575875486,0.08949416342412451,17890.529182879378,29.039688715953307,25.439688715953306,11455.63972762646,11455.555447470817,7327.25103629572,7327.234513618677,6648.5323735408565,678.4848249027237,0.23389105058365758,0.0,0.0,2171.554980544747,754.3696498054475,750.3696498054475,0.019455252918287938,0.0,38.190661478599225,198679.06614785994,65757.64980544747,0.7898832684824902,1.4863813229571985,1.4591439688715953,3.9260700389105057,17850.08560311284,37234.863813229575,32.400778210116734,0.0,0.0,138.6770428015564,205.39688715953307,14.797665369649806,9.712062256809338,1.906614785992218,25.719844357976655,3.67704280155642,9.626459143968871,6.7042801556420235,0.2840466926070039,3.657587548638132,5.003891050583658,5.583657587548638,8.43579766536965,8.770428015564203,8.844357976653697,14.536964980544747,5.011673151750973,12.505836575875486,0.0,0.0,0.019455252918287938,1.5408560311284047,97.34941634241245,12.833463035019454,0.08560311284046693,0.0038910505836575876,275835.08171206224,54596.315175097276,51205.44747081712,50304.43190661479
1,5.32,14676.851851851852,441.26338355304455,111195.25622096672,14.066484620213433,0.1393596986817326,746.8298807281858,750.8317639673572,0.3019460138104206,13.306340238543628,0.08411801632140616,20480.84745762712,28.527118644067794,28.479598242310107,2080.281161330822,2079.1189704959197,13410.857445942245,13405.00985561833,12449.121016949153,939.7746892655367,0.3053672317514124,21.65634023854363,3.8702067796610167,3527.1814624462017,751.3709981167608,747.0590081607031,0.006277463904582548,0.0012554927809165098,41.00439422473321,221511.99748901444,65093.063402385436,0.3948524795982423,1.098556183301946,1.0169491525423728,3.8763339610797236,19795.51035781544,34129.84620213434,30.94701820464532,0.003138731952291274,0.02699309478970496,136.95668549905838,217.88637790332706,16.480853735091024,8.596986817325801,2.34902699309479,28.573760200878844,5.487758945386064,8.77715003138732,8.223477715003138,0.23728813559322035,3.6283741368487132,5.005021971123666,5.815442561205273,9.623352165725047,9.359070935342121,9.335216572504708,16.441305712492152,5.020087884494664,13.294413057124922,0.0006277463904582549,0.0006277463904582549,0.02071563088512241,1.625235404896422,96.96126804770871,13.181293157564344,0.03954802259887006,0.03515379786566227,295813.1789077213,58340.70307595731,47199.62335216573,52207.82925298179
2,5.93,13983.219178082192,424.95958904109585,105074.21904109589,14.948356164383561,0.1506849315068493,739.931506849315,743.931506849315,0.3698630136986301,13.917808219178083,0.1232876712328767,24331.15068493151,32.393150684931506,30.15068493150685,0.0,0.0,14481.716884739726,14480.245479452054,13388.76589041096,1067.5102739726028,0.5593150684931507,24.880958904109587,4.4785726027397255,3244.420410958904,728.0410958904109,724.0410958904109,0.0136986301369863,0.0,166.41095890410958,197006.4794520548,64268.49315068493,-1.0,-1.0,-1.0,4.068493150684931,16136.205479452055,31180.45205479452,36.50958904109589,0.0,0.0,142.46575342465752,227.31506849315068,13.232876712328768,9.808219178082192,2.1780821917808217,24.26027397260274,5.315068493150685,9.397260273972602,7.219178082191781,0.2328767123287671,4.273972602739726,5.589041095890411,6.287671232876712,10.616438356164384,9.684931506849315,10.027397260273972,17.931506849315067,5.63013698630137,13.876712328767123,0.0,0.0,0.0273972602739726,1.7397260273972603,96.22191780821917,18.873972602739727,0.0547945205479452,0.0410958904109589,261205.5890410959,65350.849315068495,47149.31506849315,53211.643835616436
3,6.0,18350.89285714286,430.7085714285714,72321.42857142857,20.560714285714287,0.5714285714285714,685.5357142857143,689.5357142857143,0.5714285714285714,12.714285714285714,0.14285714285714285,15752.75,52.496428571428574,29.678571428571427,6746.623928571428,6740.756428571428,15046.050898214287,15028.9225,11507.449999999999,3530.093571428571,8.507142857142858,0.0,0.0,2174.4989285714287,685.0714285714286,681.0714285714286,0.07142857142857142,0.0,107.46428571428571,165214.07142857142,30235.714285714286,0.25,1.5714285714285714,1.3214285714285714,5.964285714285714,13663.642857142857,8029.607142857143,58.275,0.03571428571428571,0.0,122.67857142857143,139.53571428571428,13.107142857142858,6.321428571428571,1.6071428571428572,19.964285714285715,9.285714285714286,7.464285714285714,13.0,0.7142857142857143,3.607142857142857,5.785714285714286,4.785714285714286,7.714285714285714,13.214285714285714,8.821428571428571,14.428571428571429,5.857142857142857,12.714285714285714,0.0,0.0,0.17857142857142858,2.3214285714285716,92.37142857142858,44.478571428571435,0.14285714285714285,0.0,197156.7142857143,58739.21428571428,18610.714285714286,55026.78571428572
4,6.03,13904.263005780347,423.1889306358381,95362.90488439307,14.445231213872832,0.06647398843930635,753.2080924855492,757.2080924855492,0.4595375722543353,12.664739884393063,0.028901734104046242,16619.384393063585,32.71098265895954,29.45664739884393,0.0,0.0,14889.147534682083,14885.803728323699,13795.212976878614,1087.0242774566475,0.057167630057803474,6.853063583815029,1.2328647398843933,4222.945173410405,750.8670520231213,742.5722543352601,0.0,0.0,26.745664739884393,215690.65028901733,55639.5,-1.0,-1.0,-1.0,3.838150289017341,20551.005780346823,29424.809248554913,36.25867052023121,0.005780346820809248,0.0,136.8063583815029,204.98843930635837,16.514450867052023,9.265895953757225,2.578034682080925,25.86994219653179,3.023121387283237,9.164739884393063,5.280346820809249,0.10404624277456648,3.421965317919075,4.667630057803469,5.242774566473988,9.855491329479769,9.890173410404625,8.68208092485549,16.65606936416185,4.673410404624278,12.65606936416185,0.0,0.0,0.014450867052023121,1.4277456647398843,98.59826589595376,18.75,0.014450867052023121,0.011560693641618497,279289.1705202312,54287.44219653179,42505.973988439306,49041.37572254335
5,6.07,15936.617647058823,477.9301176470588,98834.42205882353,14.490117647058824,0.07647058823529412,745.9705882352941,749.9705882352941,0.34705882352941175,12.652941176470588,0.07058823529411765,18780.647058823528,25.80705882352941,24.905882352941177,9528.089941176471,9527.681117647058,7150.274088023529,7150.0650000000005,6408.527705882353,741.5223529411765,0.22394117647058823,0.0,0.0,2219.2375294117646,749.6176470588235,745.6176470588235,0.0058823529411764705,0.0,27.705882352941178,180483.69411764707,61581.76470588235,0.9705882352941176,1.3058823529411765,2.0294117647058822,4.382352941176471,16173.758823529412,32368.876470588235,28.259999999999998,0.0058823529411764705,0.0,123.94117647058823,182.2235294117647,11.929411764705883,8.094117647058823,1.5705882352941176,21.305882352941175,2.3705882352941177,8.152941176470588,3.9,0.1588235294117647,3.7529411764705882,5.064705882352941,5.635294117647059,8.3,8.852941176470589,8.98235294117647,14.305882352941177,5.070588235294117,12.652941176470588,0.0,0.0,0.01764705882352941,1.8941176470588235,98.02823529411765,9.458823529411765,0.06470588235294118,0.0058823529411764705,248201.71764705883,55347.08235294118,43642.35294117647,48672.25294117647
6,6.08,16821.604938271605,505.6961728395062,101664.08345679012,15.245185185185184,0.043209876543209874,754.5987654320987,758.5987654320987,0.38271604938271603,12.524691358024691,0.018518518518518517,18278.006172839505,25.066666666666666,26.11111111111111,8319.898765432099,8316.782654320989,9374.490470950617,9370.078950617284,8462.067222222222,912.3306790123457,0.09259259259259259,0.0,0.0,2859.7901234567903,756.9938271604939,749.9382716049382,0.0,0.0,7.54320987654321,187919.27160493826,65274.69135802469,0.9135802469135802,1.537037037037037,1.691358024691358,4.1419753086419755,18050.697530864196,35722.10493827161,27.86111111111111,0.0,0.0,130.6172839506173,196.70987654320987,17.32716049382716,8.771604938271604,1.9691358024691359,29.382716049382715,3.228395061728395,8.246913580246913,6.425925925925926,0.2716049382716049,3.388888888888889,4.709876543209877,5.450617283950617,8.401234567901234,8.938271604938272,8.796296296296296,14.876543209876543,4.728395061728395,12.524691358024691,0.0,0.0,0.0,1.6728395061728396,97.30802469135803,9.60925925925926,0.012345679012345678,0.006172839506172839,264150.64197530865,50133.02469135803,48027.77777777778,48728.049382716046
7,6.11,17526.08225108225,498.6106060606061,104402.64655844156,14.933160173160173,0.1277056277056277,729.8701298701299,733.8722943722944,0.3225108225108225,12.63852813852814,0.09523809523809523,19809.796536796537,34.3474025974026,25.0,14377.442380952381,14377.07119047619,3646.493360030303,3646.3091991341994,3148.6398701298704,497.85350649350653,0.0,0.0,0.0,896.7588961038961,745.7554112554112,741.7532467532468,0.010822510822510822,0.0,303.90909090909093,208868.98484848486,60615.58441558442,0.803030303030303,1.6125541125541125,1.722943722943723,4.231601731601732,18476.554112554113,30975.10173160173,37.56125541125541,0.004329004329004329,0.0,126.23376623376623,187.64502164502164,14.716450216450216,8.404761904761905,1.9307359307359306,23.846320346320347,4.5995670995671,8.816017316017316,7.036796536796537,0.23593073593073594,4.06926406926407,5.640692640692641,5.753246753246753,8.41125541125541,8.186147186147187,9.207792207792208,14.653679653679653,5.642857142857143,12.625541125541126,0.0,0.0,0.02813852813852814,1.9307359307359306,96.70844155844156,17.408008658008658,0.09523809523809523,0.0,277485.5974025974,55384.40043290043,45661.47186147186,47044.94588744589
8,6.19,15074.51923076923,455.5301923076923,97243.10576923077,14.959615384615384,0.08653846153846154,740.1442307692307,744.1442307692307,0.33653846153846156,12.182692307692308,0.08653846153846154,14341.028846153846,27.610576923076923,25.35576923076923,9698.493173076924,9698.30875,5962.193698644231,5961.886057692308,5376.026057692307,585.6544230769231,0.5133653846153846,0.0,0.0,2172.3517307692305,742.0769230769231,738.0769230769231,0.0,0.0,56.40384615384615,183276.02884615384,51940.38461538462,1.125,1.4326923076923077,1.9230769230769231,4.336538461538462,19025.509615384617,27578.490384615383,30.158653846153847,0.0,0.0,129.08653846153845,174.46153846153845,15.009615384615385,8.48076923076923,1.9038461538461537,24.192307692307693,5.211538461538462,9.432692307692308,7.798076923076923,0.3076923076923077,3.6153846153846154,4.971153846153846,5.240384615384615,8.336538461538462,8.375,8.586538461538462,14.875,4.980769230769231,12.182692307692308,0.0,0.0,0.0673076923076923,1.7788461538461537,96.97884615384615,8.6125,0.08653846153846154,0.0,243718.57692307694,43962.91346153846,37914.42307692308,44172.269230769234
9,6.24,13837.760416666666,422.48277777777776,93965.32305555555,15.86826388888889,0.1701388888888889,730.9895833333334,734.9895833333334,0.2777777777777778,13.378472222222221,0.125,18051.288194444445,35.871875,28.51736111111111,0.0,0.0,14698.923191256945,14696.95579861111,13602.678645833334,1089.0958680555555,0.3214930557986111,6.827083333333333,1.228875,3750.4000347222222,735.1354166666666,727.7083333333334,0.003472222222222222,0.0,113.44097222222223,186521.79513888888,51202.52777777778,-0.90625,-0.7881944444444444,-0.875,3.8993055555555554,16943.07986111111,23462.385416666668,40.77048611111111,0.010416666666666666,0.0,132.82638888888889,206.56944444444446,14.756944444444445,9.090277777777779,2.34375,27.104166666666668,5.930555555555555,9.14236111111111,9.666666666666666,0.2986111111111111,3.7569444444444446,5.322916666666667,5.454861111111111,9.458333333333334,8.774305555555555,9.472222222222221,17.038194444444443,5.364583333333333,13.36111111111111,0.0,0.0,0.020833333333333332,1.5972222222222223,96.67222222222222,22.344791666666666,0.041666666666666664,0.06597222222222222,242493.44791666666,53663.854166666664,36823.958333333336,47586.98611111111
